Channel_name,ChannelUrl,PublishedDate,Country,SubscriberCount,Views,VideoCount
Bemi Badmus,bemia,2011-09-27T04:20:28Z,NG,12200,1097143,334
Programming with Mosh,programmingwithmosh,2014-10-07T00:40:53Z,AU,2550000,121960020,170
Tolulope Solutions,tolulopesolutions,2017-07-07T16:28:13Z,CA,108000,18809220,314
Aysha Harun,ayshaharun,2011-06-13T00:35:14Z,US,482000,34421253,610
Adaeze's Space,adaezesspace,2017-11-09T17:28:43Z,NG,42700,6635326,391
Tomike Adeoye,tomikeadeoye,2014-02-09T07:53:59Z,US,105000,10317444,89
Diary of a KITCHEN LOVER,N/A,2014-04-06T18:52:26Z,NG,47700,1330755,222
Onyeka Asamaka,onyekaasamaka,2015-11-01T17:07:39Z,CA,35100,1740563,120
edureka!,edurekain,2012-06-29T06:12:26Z,IN,3380000,315475140,6715
Alma Ngur,almangur,2013-06-03T12:29:18Z,NG,21600,4090173,426
Tobi Adekeye,tobiadekeye,2014-09-13T17:24:39Z,CA,26200,1373192,79
Dyna Ekwueme,dynaekwueme,2017-02-16T15:25:25Z,US,113000,17623596,393
techTFQ,techtfq,2020-06-13T05:20:37.182391Z,MY,82900,3798734,61
Tayo Aina,tayoainafilms,2015-04-05T11:12:56Z,NG,409000,38348369,309
OmabelleTV,omabelletv,2012-04-26T18:14:36Z,US,558000,67836373,526
Alex The Analyst,alextheanalyst,2020-01-08T05:04:24.970712Z,US,234000,9291243,148
IAMYEYCHI,iamyeychi,2015-01-05T14:09:19Z,NG,12600,723953,192
"Mercy Gono BSN, RN",N/A,2016-09-25T15:28:30Z,US,1580000,113773299,405
Ezinne Zara,ezinnezara,2015-06-16T06:22:58Z,NG,49600,1774588,62
Tina Huang,tinahuang1,2013-08-28T18:05:17Z,US,343000,13113734,102
Olori Esho,oloriesho,2020-01-13T13:45:48.25651Z,US,25100,3189655,424
Olusola Love,N/A,2011-10-31T12:52:42Z,CA,23700,1176332,77
MyOnlineTrainingHub,myonlinetraininghub,2010-04-11T13:56:56Z,N/A,436000,25719148,194
Abiandfamily,abiandfamily,2018-10-08T19:24:01Z,CA,51600,16113249,856
The OT Love Train,theotlovetrain,2017-04-05T19:05:23Z,CA,9290,611734,116
Nelo Okeke,nelookeke,2011-07-22T10:24:29Z,NG,89600,15628822,608
SisiYemmieTV,sisiyemmietv,2011-11-17T20:38:34Z,NG,772000,79311525,989
Chinyere Abang,chinyereabang,2013-12-18T18:31:33Z,US,41600,7602106,466
Dimma Umeh,dimmaumeh,2012-01-21T18:40:21Z,NG,448000,33857937,361
TrumpExcel,trumpexcel,2013-12-22T12:29:35Z,N/A,219000,27372155,382
